time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,99,33,0,0
2026-04-23 00:00:00+00:00,71,24,0,0
2026-04-24 00:00:00+00:00,107,36,7,2
2026-04-25 00:00:00+00:00,38,17,0,0
2026-04-26 00:00:00+00:00,19,7,0,0
2026-04-27 00:00:00+00:00,25,8,0,0
2026-04-28 00:00:00+00:00,27,7,0,0
2026-04-29 00:00:00+00:00,28,9,0,0
2026-04-30 00:00:00+00:00,27,10,3,1
2026-05-01 00:00:00+00:00,30,8,1,1
2026-05-02 00:00:00+00:00,31,10,1,1
2026-05-03 00:00:00+00:00,14,6,0,0
2026-05-04 00:00:00+00:00,19,7,0,0
2026-05-05 00:00:00+00:00,40,10,0,0
