time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,32,10,0,0
2026-06-15 00:00:00+00:00,28,11,0,0
2026-06-16 00:00:00+00:00,29,10,0,0
2026-06-17 00:00:00+00:00,13,4,0,0
2026-06-18 00:00:00+00:00,13,3,0,0
2026-06-19 00:00:00+00:00,25,9,0,0
2026-06-20 00:00:00+00:00,49,12,0,0
2026-06-21 00:00:00+00:00,30,7,0,0
2026-06-22 00:00:00+00:00,36,8,0,0
2026-06-23 00:00:00+00:00,44,10,0,0
2026-06-24 00:00:00+00:00,30,11,0,0
2026-06-25 00:00:00+00:00,30,7,0,0
2026-06-26 00:00:00+00:00,21,7,0,0
2026-06-27 00:00:00+00:00,13,5,1,1
