url_path,views_total,views_unique
/norwegian-geotechnical-institute/geoinquire-va2-34-2,7,5
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Tool-HazardMap/Code/Hazard.py,2,2
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/Tool-HazardMap,2,2
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/Tool-HazardMap/Code,2,2
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/Tool-HazardMap/Data,2,2
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Geo-INQUIRE_logo_small.png,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Tool-HazardMap/Code/HazardProcessor.py,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Tool-HazardMap/Data/MeanMaxDayRain.asc,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Tool-HazardMap/Data/StdMaxDayRain.txt,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Tool-HazardMap/Data/input_variables.xlsx,1,1
