time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,14,6,0,0
2026-05-04 00:00:00+00:00,19,7,0,0
2026-05-05 00:00:00+00:00,40,10,0,0
2026-05-06 00:00:00+00:00,13,5,0,0
2026-05-07 00:00:00+00:00,33,10,0,0
2026-05-08 00:00:00+00:00,18,6,0,0
2026-05-09 00:00:00+00:00,30,9,0,0
2026-05-10 00:00:00+00:00,29,8,0,0
2026-05-11 00:00:00+00:00,31,10,0,0
2026-05-12 00:00:00+00:00,14,3,1,1
2026-05-13 00:00:00+00:00,27,7,0,0
2026-05-14 00:00:00+00:00,10,5,0,0
2026-05-15 00:00:00+00:00,48,20,2,1
2026-05-16 00:00:00+00:00,12,6,0,0
