time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,25,8,0,0
2026-04-28 00:00:00+00:00,27,7,0,0
2026-04-29 00:00:00+00:00,28,9,0,0
2026-04-30 00:00:00+00:00,27,10,3,1
2026-05-01 00:00:00+00:00,30,8,1,1
2026-05-02 00:00:00+00:00,31,10,1,1
2026-05-03 00:00:00+00:00,14,6,0,0
2026-05-04 00:00:00+00:00,19,7,0,0
2026-05-05 00:00:00+00:00,40,10,0,0
2026-05-06 00:00:00+00:00,13,5,0,0
2026-05-07 00:00:00+00:00,33,10,0,0
2026-05-08 00:00:00+00:00,18,6,0,0
2026-05-09 00:00:00+00:00,30,9,0,0
2026-05-10 00:00:00+00:00,29,8,0,0
