url_path,views_total,views_unique
/norwegian-geotechnical-institute/geoinquire-va2-34-2,6,5
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/Tool-HazardMap,4,3
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/Tool-HazardMap/Data,3,2
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/Tool-HazardMap/Code,2,2
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Tool-HazardMap/Code/Hazard.py,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Tool-HazardMap/Code/HazardProcessor.py,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/.github/workflows,1,1
