time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,21,7,0,0
2026-01-25 00:00:00+00:00,18,7,0,0
2026-01-26 00:00:00+00:00,17,6,5,2
2026-01-27 00:00:00+00:00,18,7,0,0
2026-01-28 00:00:00+00:00,12,5,0,0
2026-01-29 00:00:00+00:00,18,7,0,0
2026-01-30 00:00:00+00:00,10,6,1,1
2026-01-31 00:00:00+00:00,17,6,0,0
2026-02-01 00:00:00+00:00,7,4,0,0
2026-02-02 00:00:00+00:00,20,9,0,0
2026-02-03 00:00:00+00:00,15,7,0,0
2026-02-04 00:00:00+00:00,11,4,0,0
2026-02-05 00:00:00+00:00,13,9,0,0
2026-02-06 00:00:00+00:00,14,9,0,0
