time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-06 00:00:00+00:00,7,4,1,1
2026-03-07 00:00:00+00:00,11,4,0,0
2026-03-08 00:00:00+00:00,17,6,0,0
2026-03-09 00:00:00+00:00,5,2,3,1
2026-03-10 00:00:00+00:00,3,3,1,1
2026-03-11 00:00:00+00:00,17,7,0,0
2026-03-12 00:00:00+00:00,12,5,0,0
2026-03-13 00:00:00+00:00,10,3,0,0
2026-03-14 00:00:00+00:00,14,7,0,0
2026-03-15 00:00:00+00:00,14,7,0,0
2026-03-16 00:00:00+00:00,11,4,6,1
2026-03-17 00:00:00+00:00,13,5,0,0
2026-03-18 00:00:00+00:00,19,5,7,1
2026-03-19 00:00:00+00:00,3,3,0,0
