time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,46,12,0,0
2026-04-14 00:00:00+00:00,12,4,0,0
2026-04-15 00:00:00+00:00,24,7,1,1
2026-04-16 00:00:00+00:00,16,5,1,1
2026-04-17 00:00:00+00:00,29,9,0,0
2026-04-18 00:00:00+00:00,23,10,0,0
2026-04-19 00:00:00+00:00,48,16,0,0
2026-04-20 00:00:00+00:00,73,26,0,0
2026-04-21 00:00:00+00:00,71,28,0,0
2026-04-22 00:00:00+00:00,99,33,0,0
2026-04-23 00:00:00+00:00,71,24,0,0
2026-04-24 00:00:00+00:00,107,36,7,2
2026-04-25 00:00:00+00:00,38,17,0,0
2026-04-26 00:00:00+00:00,19,7,0,0
