url_path,views_total,views_unique
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/Tool-HazardMap/Data,5,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2,3,3
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Tool-HazardMap/Data/MeanMaxDayRain.asc,2,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Tool-HazardMap/Code/Hazard.py,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Tool-HazardMap/Data/StdMaxDayRain.asc,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/Tool-HazardMap,1,1
